,car_id,description,amount,region,make,model,year_of_man,color,condition,mileage,engine_size,selling_cond,bought_cond,trim,drive_train,reg_city,seat,num_cylinder,horse_power,body_build,fuel_type,transmission
0,5IQTDBTYmvK1tJwhdvGJfESJ,Lexus ES 350 FWD 2013 Red, 12937500,"Lagos State, Ikeja",Lexus,ES,2013,Red,Foreign Used,272474,3500,Imported,Imported,350 FWD,Front Wheel,,5,6,268,Sedan,Petrol,Automatic
1,zpZUGomoVXuKk9UFa8j8moC9,Land Rover Range Rover 2012 White, 6750000,"Abuja (FCT), Garki 2",Land Rover,Range Rover,2012,White,Nigerian Used,102281,5000,Registered,Registered,,,,,,,SUV,Petrol,Automatic
2,a6ShZXOX4KtY6IBGJIcF3Cxk,Toyota Sequoia 2018 Black, 50625000,"Lagos State, Lekki",Toyota,Sequoia,2018,Black,Foreign Used,127390,5700,Imported,Imported,,,,,,,SUV,Petrol,Automatic
3,CciPNDN6vhhQQI1FTQHAbfxi,Toyota Corolla 2007 Green, 3600000,"Abuja (FCT), Lugbe District",Toyota,Corolla,2007,Green,Nigerian Used,139680,1800,Registered,Registered,,,ABUJA,,,,,Petrol,Automatic
4,bvwd5LDMx6mIYpVa6Uhi2jqJ,Mercedes-Benz M Class 2005 Silver, 3262500,"Lagos State, Isolo",Mercedes-Benz,M Class,2005,Silver,Nigerian Used,220615,3500,Registered,Imported,,,ABUJA,,,,,Petrol,Automatic
5,rR9jyMmvS5QYArvQplOQRVid,Lexus ES 2007 Blue, 4837500,"Abuja (FCT), Gwarinpa",Lexus,ES,2007,Blue,Nigerian Used,347614,3500,Registered,Registered,,,,,,,,Petrol,Automatic
6,hy7yBdW3a3EbwkZU7WGHqUPr,Lexus ES 350 2008 White, 4162500,"Abuja (FCT), Kubwa",Lexus,ES,2008,White,Nigerian Used,126841,3500,Registered,Registered,350,Front,ABUJA,5,6,,Sedan,Petrol,Automatic
7,x2Uz0Pm5w43ConBBsmAOQPOV,Ford Escape XLS 4x4 2005 Ivory, 1721250,"Lagos State, Ikeja",Ford,Escape,2005,Ivory,Nigerian Used,246930,3000,Registered,Imported,XLS 4x4,All Wheel,LAGOS,5,4,156,SUV,Petrol,Automatic
8,n8PHuxWTdbg0HvvedjTf5CJZ,Acura MDX 2011 Blue, 4590000,"Lagos State, Ikotun/Igando",Acura,MDX,2011,Blue,Nigerian Used,122734,3700,Registered,Registered,,,Lagos,,,,SUV,Petrol,Automatic
9,xEGLEYM0Nt5xNQJatGMewIVr,Toyota Highlander 2015 Teal, 18000000,"Lagos State, Lekki",Toyota,Highlander,2015,Teal,Nigerian Used,130078,3500,Registered,Imported,,,,,,,SUV,Petrol,Automatic
